iter	RMSE
0	79042.93809
1	78392.15111
2	77847.21713
3	77364.62667
4	76963.13458
5	76623.31336
6	76332.85377
7	76093.72785
8	73740.76761
9	73545.75887
10	73376.75044
11	73218.11722
12	73089.09319
13	72984.85496
14	72891.26462
15	72802.03485
16	72713.97846
17	72644.55702
18	72579.73034
19	72528.31371
20	72466.04424
21	72408.74512
22	72335.09048
23	72295.61802
24	72250.1213
25	72210.20797
26	72162.87959
27	72131.94732
28	72102.11573
29	72072.15122
30	72042.7094
31	72009.84487
32	71973.61126
33	71952.3873
34	71930.98162
35	71910.75576
36	71885.99793
37	71848.67688
38	71803.91895
39	71777.55746
40	71758.24443
41	71712.14417
42	71706.16006
43	71684.38036
44	71662.26426
45	71646.11344
46	71637.92478
47	71619.26529
48	71609.59689
4949	73884.34645050	73865.24655151	73854.24395252	73838.16725353	73813.1613554	73802.69799
55	73788.01888
56	73779.30732
57	73767.23149
58	73740.56891
59	73718.28185
60	73698.20211
61	73686.95307
62	73678.17079
63	73654.82091
64	73641.48455
65	73626.24424
66	73615.18141
67	73601.03263
68	73583.58137
69	73576.99975
70	73561.49359
71	73544.66868
72	73528.75282
73	73522.38494
74	73511.17838
75	73501.73441
76	73494.64945
77	73488.86477
78	73475.1128
79	73452.7763
80	73436.04949
81	73419.28263
82	73413.30024
83	73402.88285
84	73393.53175
85	73370.10413
86	73355.32112
87	73327.05649
88	73316.48931
89	73304.61144
90	73298.18133
91	73286.30255
92	73279.78578
93	73272.13517
94	73260.46089
95	73253.59964
96	73237.94292
97	73234.56529
98	73215.69738
99	73200.98281
100	73169.75089
101	73164.50433
102	73130.29615
103	73125.13115
104	73106.87497
105	73089.75819
106	73071.97004
107	73060.33925
108	73054.9589
109	73047.48248
110	73041.87111
111	73033.88908
112	73024.40083
113	73011.49324
114	73001.95428
115	72986.7187
116	72977.69826
117	72965.69776
118	72960.8288
119	72945.62538
120	72913.79071
121	72910.13806
122	72905.40349
123	72877.85836
124	72873.29821
125	72841.79263
126	72819.93851
127	72811.03338
128	72805.50654
129	72789.54683
130	72773.87805
131	72760.43524
132	72750.17788
133	72742.41669
134	72726.60018
135	72716.67376
136	72707.48333
137	72690.75516
138	72673.85376
139	72661.54806
140	72630.73784
141	72622.96705
142	72608.12045
143	72602.98752
144	72582.71793
145	72561.97805
146	72531.71406
147	72525.37804
148	72512.46255
149	72501.03098
150	72486.25436
151	72471.41819
152	72451.22092
153	72440.65941
154	72422.06848
155	72407.13508
156	72397.33773
157	72376.39724
158	72360.06764
159	72352.56673
160	72333.84185
161	72314.39872
162	72303.2191
163	72296.78387
164	72268.78802
165	72240.01809
166	72230.19386
167	72217.7797
168	72203.21723
169	72199.56753
170	72193.02846
171	72183.70057
172	72170.39583
173	72152.51384
174	72138.0213
175	72103.85449
176	72070.48268
177	72054.49479
178	72038.1394
179	72022.92188
180	72008.15753
181	71994.12723
182	71980.98373
183	71950.52801
184	71938.0107
185	71890.74189
186	71878.82064
187	71871.25211
188	71859.67135
189	71848.66687
190	71834.83187
191	71824.47501
192	71818.52044
193	71808.08674
194	71800.00049
195	71781.86512
196	71771.14665
197	71767.52601
198	71764.09927
199	71747.43257
200	71744.18182
201	71741.21831
202	71738.28277
203	71733.44947
204	71730.65981
205	71728.01123
206	71725.49518
207	71712.21379
208	71692.87354
209	71678.92282
210	71669.05724
211	71660.1988
212	71657.80215
213	71648.36833
214	71646.08689
215	71634.03417
216	71625.06644
217	71616.49546
218	71602.83306
219	71588.3893
220	71559.52237
221	71551.40291
222	71546.38435
223	71537.24349
224	71531.094
225	71526.43805
226	71509.12798
227	71495.00138
228	71487.61292
229	71472.32315
230	71461.11313
231	71453.38139
232	71451.18714
233	71445.55297
234	71443.46291
235	71432.87785
236	71418.46239
237	71405.26927
238	71403.28147
239	71385.01505
240	71383.12093
241	71374.16392
242	71367.10478
243	71350.03354
244	71345.59599
245	71343.78585
246	71337.64235
247	71326.14153
248	71318.44868
249	71316.72973
250	71299.5112
251	71297.87275
252	71285.51012
253	71272.70558
254	71261.79628
255	71245.01051
256	71243.45056
257	71230.11106
258	71223.61903
259	71217.47483
260	71210.11695
261	71196.51755
262	71180.37278
263	71169.33507
264	71161.83704
265	71156.96029
266	71148.9855
267	71130.3689
268	71124.72828
269	71119.37015
270	71075.73048
271	71066.15519
272	71048.73827
273	71043.83035
274	71030.9999
275	71026.35035
276	71020.93478
277	71012.20216
278	71010.69293
279	71005.11283
280	71000.67746
281	70992.55678
282	70986.16848
283	70971.76101
284	70954.86112
285	70943.00848
286	70941.56229
287	70930.12079
288	70928.74173
289	70916.014
290	70898.07644
291	70885.52227
292	70874.37843
293	70868.52107
294	70855.8302
295	70846.51433
296	70845.20525
297	70834.56731
298	70821.11454
299	70807.64068
300	70798.68302
301	70790.96745
302	70778.73261
303	70764.56385
304	70763.3152
305	70744.58923
306	70735.15511
307	70722.5647
308	70721.37301
309	70707.89761
310	70695.74518
311	70680.00067
312	70645.26823
313	70635.31508
314	70598.1985
315	70594.69065
316	70572.9299
317	70561.52015
318	70548.03404
319	70540.48718
320	70529.30586
321	70516.47087
322	70502.79176
323	70485.25204
324	70473.0294
325	70463.69453
326	70462.49985
327	70457.06716
328	70444.94684
329	70424.08614
330	70407.6533331	70391.51633332	70380.147
333	70375.99326
334	70364.78536
335	70354.102453336	70352.971343337	70341.143483338	70330.9692
339	70322.12247
340	69239.72334
341	69222.73528
342	69209.59137
343	69191.02344
344	69188.97875
345	69153.78837
346	69152.61303
347	69137.05109
348	69135.95334
349	69135.17014
350	69118.82287
351	69102.83903
352	69096.65227
353	69089.5815
354	69080.21847
355	69072.79466
356	69070.23784
357	69062.26279
358	69054.60745
359	69051.62274
360	69043.43511
361	69034.30962
362	69029.97313
363	69023.80757
364	69008.68232
365	69003.27105
366	68994.51903
367	68990.40673
368	68986.46015
369	68977.27035
370	68972.10526
371	68963.03722
372	68961.34654
373	68958.72101
374	68941.08026
375	68917.37717
376	68899.67936
377	68895.33757
378	68884.68422
379	68867.57708
380	68861.96067
381	68854.0926
382	68827.3656
383	68823.62954
384	68816.99432
385	68814.66147
386	68800.75383
387	68784.98924
388	68769.94632
389	68752.80487
390	68746.62262
391	68738.57132
392	68730.01782
393	68715.63848
394	68697.7948
395	68688.0491
396	68681.25504
397	68671.2207
398	68665.66958
399	68663.50676
400	68662.26117
401	68661.60346
402	68652.07768
403	68651.45627
404	68650.14448
405	68640.45812
406	68633.36959
407	68614.63413
408	68608.58522
409	68605.19081
410	68590.88693
411	68586.39171
412	68572.99164
413	68568.19673
414	68561.48421
415	68550.31041
416	68537.55081
417	68502.76842
418	68494.99988
419	68486.01841
420	68473.18304
421	68464.84469
422	68453.19512
423	68436.48144
424	68405.11739
425	68404.0908
426	68375.36532
427	68368.71418
428	68356.13549
429	68348.1593
430	68340.77176
431	68335.98392
432	68332.36016
433	68322.25179
434	68317.96288
435	68307.45588
436	68282.81413
437	68275.00018
438	68269.27254
439	68261.70754
440	68261.14635
441	68260.01958
442	68258.14568
443	68253.86576
444	68244.29983
445	68230.20802
446	68222.87716
447	68215.65264
448	68210.41606
449	68201.41605
450	68189.11589
451	68181.62163
452	68171.85449
453	68166.15274
454	68164.27132
455	68158.57108
456	68142.59754
457	68139.3262
458	68132.1097
459	68131.38202
460	68125.61604
461	68119.31348
462	68118.62855
463	68115.81683
464	68110.53597
465	68092.33285
466	68072.29339
467	68067.66623
468	68050.12255
469	68041.22795
470	68025.13831
471	68010.35652
472	68009.07612
473	68007.02292
474	67999.93841
475	67993.01519
476	67972.70872
477	67965.50516
478	67961.03242
479	67952.44625
480	67937.18322
481	67929.27383
482	67913.05522
483	67906.66632
484	67897.18918
485	67895.98259
486	67893.33106
487	67874.90525
488	67871.9896
489	67868.48463
490	67855.12644
491	67846.25847
492	67823.77204
493	67816.65461
494	67801.20988
495	67787.1505
496	67774.67174
497	67768.54033
498	67762.52952
499	67756.011
500	67737.78816
501	67734.10082
502	67726.3539
503	67711.76454
504	67700.01977
505	67697.48629
506	67683.58807
507	67674.7094
508	67671.17631
509	67654.92765
510	67645.19599
511	67628.92574
512	67618.52191
513	67612.64807
514	67609.4742
515	67607.7864
516	67598.25031
517	67585.88553
518	67580.31741
519	67578.32636
520	67569.643
521	67563.64189
522	67558.58505
523	67557.30932
524	67544.30396
525	67540.99924
526	67533.08752
527	67523.27494
528	67519.95551
529	67514.757
530	67509.8388
531	67508.25441
532	67506.38013
533	67503.61883
534	67498.66329
535	67486.10056
536	67481.53415
537	67473.07919
538	67471.17843
539	67452.63567
540	67445.6858
541	67441.408
542	67434.68976
543	67422.29896
544	67420.58783
545	67407.26835
546	67399.44742
547	67389.11365
548	67385.0469
549	67368.44586
550	67365.54296
551	67355.8898
552	67350.70925
553	67344.32942
554	67313.53731
555	67312.26845
556	67303.57479
557	67296.61557
558	67281.23411
559	67276.26386
560	67275.17685
561	67257.83157
562	67254.22577
563	67247.14823
564	67227.75864
565	67215.01946
566	67200.69755
567	67183.78361
568	67167.31282
569	67162.75807
570	67133.77821
571	67114.96026
572	67102.79288
573	67091.1908
574	67075.05871
575	67072.50089
576	67068.55028
577	67061.6165
578	67059.10065
579	67053.17499
580	67045.60375
581	67039.66366
582	67033.84161
583	67027.84087
584	67018.93939
585	67011.90539
586	67007.70281
587	67003.38958
588	66997.59752
589	66986.52003
590	66980.73901
591	66977.14553
592	66975.7914
593	66963.9179
594	66960.91999
595	66943.16509
596	66937.66741
597	66929.80968
598	66913.53971
599	66905.11128
600	66899.77956
601	66893.157
602	66889.05946
603	66884.15389
604	66871.48317
605	66861.78649
606	66850.57299
607	66849.28228
608	66833.89001
609	66828.20924
610	66824.95938
611	66809.8219
612	66797.3274
613	66795.03972
614	66792.26766
615	66779.77202
616	66773.72873
617	66763.57908
618	66749.06924
619	66740.66957
620	66736.27568
621	66726.61594
622	66713.6614
623	66680.28566
624	66676.43462
625	66661.67645
626	66654.7617
627	66645.55473
628	66634.64803
629	66630.27435
630	66621.50906
631	66604.23267
632	66598.12793
633	66588.11423
634	66572.10234
635	66570.34826
636	66553.95225
637	66546.99981
638	66532.9858
639	66524.91245
640	66515.54349
641	66510.72142
642	66466.50784
643	66451.15374
644	66437.77912
645	66422.18474
646	66418.30639
647	66406.58439
648	66395.05426
649	66387.5176
650	66385.33579
651	66372.67296
652	66357.55389
653	66351.81931
654	66340.72149
655	66311.33703
656	66306.64139
657	66304.36059
658	66299.41763
659	66294.11962
660	66281.64363
661	66278.99571
662	66268.47511
663	66251.31754
664	66235.16902
665	66219.98836
666	66218.60842
667	66203.73655
668	66201.05356
669	66186.87655
670	66156.91305
671	66152.22505
672	66136.05243
673	66132.95392
674	66119.4203
675	66104.17921
676	66100.26136
677	66096.98312
678	66082.61185
679	66069.28788
680	66040.21757
681	66013.04552
682	66005.30132
683	65998.56529
684	65994.91025
685	65983.79127
686	65979.15518
687	65975.82263
688	65972.95308
689	65969.85367
690	65963.5219
691	65950.23928
692	65945.84457
693	65939.14451
694	65930.39712
695	65926.8188
696	65920.03912
697	65912.64791
698	65905.33181
699	65895.37432
700	65877.4239
701	65876.8291
702	65872.81068
703	65867.72609
704	65859.33312
705	65851.39525
706	65845.32662
707	65835.54256
708	65828.72817
709	65824.61482
710	65820.31821
711	65812.35658
712	65806.15076
713	65801.8779
714	65800.23818
715	65793.1106
716	65786.43398
717	65784.5163
718	65782.66441
719	65777.74353
720	65773.95263
721	65766.97172
722	65763.22838
723	65756.57555
724	65741.54497
725	65731.7312
726	65720.56476
727	65711.4633
728	65698.87501
729	65687.26874
730	65682.44009
731	65669.68809
732	65667.88859
733	65661.53826
734	65657.03752
735	65648.26771
736	65633.95727
737	65631.99805
738	65626.42105
739	65609.3399
740	65602.80939
741	65598.51373
742	65592.4506
743	65586.74042
744	65568.94898
745	65564.42756
746	65560.42092
747	65552.18896
748	65549.45521
749	65534.5256
750	65515.33667
751	65512.19988
752	65502.77801
753	65501.70258
754	65497.0632
755	65489.70676
756	65474.88435
757	65461.21904
758	65450.53066
759	65441.94532
760	65441.43229
761	65421.2876
762	65404.95025
763	65403.32833
764	65395.35468
765	65393.79665
766	65392.30589
767	65390.40024
768	65379.97289
769	65374.17891
770	65366.40566
771	65325.91639
772	65316.22417
773	65311.9234
774	65307.13945
775	65302.89199
776	65284.97231
777	65283.58132
778	65276.0809
779	65273.36371
780	65268.11928
781	65262.143
782	65256.38426
783	65252.80874
784	65250.32301
785	65237.25335
786	65215.96812
787	65213.74738
788	65211.07325
789	65207.07936
790	65196.20068
791	65181.08965
792	65165.64587
793	65155.97884
794	65150.69346
795	65134.81981
796	65128.83339
797	65125.65907
798	65118.15822
799	65102.66148
800	65088.73036
801	65083.27552
802	65077.60464
803	65065.91026
803	66008.13955
804	66002.46617
805	65994.14967
806	65992.6246
807	65988.49155
808	65982.02439
809	65979.57659
810	65974.71464
811	65973.6275
812	65951.85336
813	65942.50381
814	65914.40684
815	65911.03671
816	65902.42617
817	65898.15672
818	65896.27143
819	65886.6732
820	65882.91414
821	65873.96879
822	65871.77422
823	65853.74414
824	65846.28578
825	65842.33558
826	65836.47587
827	65827.76596
828	65801.9235
829	65789.10805
830	65777.70236
831	65763.173
832	65760.33747
833	65746.01742
834	65743.15686
835	65740.16452
836	65735.01872
837	65728.05274
838	65710.88852
839	65706.45811
840	65696.84739
841	65686.50655
842	65679.8387
843	65666.25405
844	65660.51594
845	65649.11325
846	65641.29606
847	65638.8519
848	65634.58035
849	65633.01159
850	65625.39492
851	65617.17908
852	65612.23541
853	65592.68819
854	65582.25605
855	65572.90436
856	65571.38496
857	65561.92996
858	65557.27497
859	65550.0578
860	65547.73455
861	65539.61509
862	65531.72935
863	65526.39728
864	65524.80564
865866	64607.72866	867	64591.83867	868	64587.94868	869	64582.37869	870	64561.57870	871	64554.37748
872	64551.24263
873	64546.2928
874	64545.19135
875	64541.69817
876	64539.92232
877	64531.51491
878	64524.61063
879	64517.69134
880	64514.5494
881	64507.7541
882	64491.52446
883	64488.97189
884	64486.02782
885	64474.62813
886	64470.5862
887	64465.64554
888	64460.78759
889	64447.04912
890	64440.66061
891	64428.31058
892	64421.11667
893	64418.98806
894	64414.19362
895	64412.34986
896	64400.93186
897	64399.72446
898	64386.75749
899	64373.3434
900	64372.47864
901	64361.97159
902	64358.03502
903	64354.05755
904	64349.60024
905	64335.21701
906	64324.51641
907	64322.39442
908	64303.25987
909	64298.44179
910	64297.30332
911	64295.26524
912	64276.25667
913	64264.52532
914	64259.74351
915	64247.53428
916	64241.9089
917	64237.12836
918	64218.88572
919	64209.96255
920	64193.33944
921	64175.95061
922	64169.40914
923	64149.82552
924	64139.1018
925	64122.51533
926	64110.51337
927	64098.59721
928	64080.33068
929	64075.52056
930	64069.77805
931	64058.0115
932	64051.99474
933	64050.04361
934	64039.34543
935	64029.2179
936	64016.78771
937	64006.71168
938	63998.50437
939	63987.25503
940	63977.40496
941	63974.40162
942	63964.62111
943	63959.85504
944	63942.09367
945	63937.13986
946	63926.4515
947	63921.90037
948	63900.16573
949	63892.80671
950	63889.99347
951	63877.34219
952	63861.45228
953	63858.9254
954	63845.14616
955	63838.64692
956	63831.39146
957	63811.32098
958	63806.42035
959	63801.93479
960	63794.76368
961	63792.5768
962	63782.56498
963	63778.73583
964	63777.50886
965	63773.30462
966	63769.29205
967	63758.99736
968	63751.70945
969	63741.74181
970	63732.25287
971	63727.49193
972	63719.59177
973	63710.66916
974	63702.17679
975	63696.02293
976	63687.79161
977	63683.60041
978	63675.85251
979	63661.27713
980	63658.78337
981	63641.21984
982	63635.92867
983	63632.13803
984	63619.29317
985	63617.24607
986	63616.31135
987	63605.43792
988	63600.13575
989	63590.4678
990	63576.45294
991	63560.45593
992	63555.53554
993	63553.07352
994	63542.20242
995	63522.3443
996	63507.75382
997	63493.13103
998	63480.93173
999	63477.82764
1.92723
95
